id,name,ttrpg_label,truth
334156341,Rune Master: A D&D 5e Class of Arcane Mastery and Adventure,ttrpg,core
1356593011,Forgotten Ruin - The Role Playing Game,ttrpg,core
755607553,Medusa's Gaze: A Tale of Beauty and Curse,ttrpg_accessory,acc
1882936254,Voyagers: 3D Printable Vessels for TTRPGs,ttrpg_accessory,acc
468271289,Empire of Scorching Sands - 3D Printable Tabletop Models,ttrpg_accessory,acc
247335088,Leah STL,ttrpg_accessory,acc
1999433487,"The Goblin Fortress, D&D, maps, paper minis, VTT",ttrpg_accessory,acc
540395916,Rum & Razing,ttrpg_accessory,acc
809373834,Castle of the Vampire Lord: 3d printable RPG castle,ttrpg_accessory,acc
265466428,Dawn and Dusk Dice - Cat's Eye Stone Dice for Tabletop Games,ttrpg_accessory,acc
1438000022,3D Printable Christmas Imp,ttrpg_accessory,acc
1701781300,FANGS - STL files for 3D Modular Scenarios by EdiTable Games,ttrpg_accessory,acc
736417153,Gothic Grimdark Miniatures STL – Dark Fantasy DnD NPCs,ttrpg_accessory,acc
27876167,Phroggs - 28mm Sci-Fi Amphibians,ttrpg_accessory,acc
1676120777,Dragon Souls I,ttrpg_accessory,acc
1733041548,"EASY Print! FMD Friendly ""Western Saloon"" 28mm PWYW .STL",ttrpg_accessory,acc
277698374,Iron Front: WWII - PART 4 |STL 28 32 75MM|,ttrpg_accessory,acc
1163981622,"Where The Nobles Feast, Gilded Square",ttrpg_accessory,acc
1112654471,Ironwood Engraving - Affordable Role-Playing Tokens and Maps,ttrpg_accessory,acc
1567437861,Battle Mat Master® TTRPG Stamps and Stencils,ttrpg_accessory,acc
1029590315,INSTADUNGEON™ Fantasy Expansion Set 2 - 3D printed tiles,ttrpg_accessory,acc
1463012656,Summer Party: Bikini Girls Vol. 1: 3D Printable STL Files,ttrpg_accessory,acc
1620163242,The Forsaken Ash Shrine – 3D Printable Terrain & Miniatures,ttrpg_accessory,acc
173911210,Dinoworld kingdoms Epic miniatures,ttrpg_accessory,acc
432204652,Spellbook Minis,ttrpg_accessory,acc
699729997,Fantastical Folk - Townsfolk Miniatures,ttrpg_accessory,acc
1763139479,Dragon Scales Dice - Unpainted Resin Dnd Dice Set,ttrpg_accessory,acc
126987999,Maps for TTRPGs - Realms of the Jarls,ttrpg_accessory,acc
1216109900,Queens of Battle vol.02,ttrpg_accessory,acc
812260923,Modular Map Tiles - Build your own dungeons for DnD,ttrpg_accessory,acc
817340798,UnderRealm - The Lost City,ttrpg_accessory,acc
136155670,Desertheim: STL Miniatures & Terrain Collection,ttrpg_accessory,acc
562745473,Fantasy Football Upgrade Packs Season 1,other_accessory,acc
128358574,Testudine Time Travelers,other_accessory,acc
1903831983,Medieval City Builder - STL / 28MM,other_accessory,acc
1343169499,Askrias Cube - Game Aid Dice,other_accessory,acc
1323458389,Deorgard 2,other_accessory,acc
1707252135,WOW All At Sea 3D Printable STL files,other_accessory,acc
1632811067,March of the Dead. 28mm Fantasy Undead Miniatures,other_accessory,acc
1573034788,28mm Oldhammer Style Chaos Beastmen,other_accessory,acc
655947830,INTHERA,other_accessory,acc
108041251,The Dark Lord's Fallen Legions,other_accessory,acc
417645775,The Horny Women of the Immortal Shogunate Vol.1 (STL FILES),other_accessory,acc
170977647,Fast Terrain - Modular sci-fi industrial outpost battlefield,other_accessory,acc
1515626849,Sisters of the Night: A Witch's Tale,other_accessory,acc
722473834,Dice Rituals: Rise of the Cultists,other_accessory,non
1030625852,Make 100 Pewter Heroes Trilogy Collector's Editions,other_accessory,acc
1646314195,Deadly Concoctions (Limited Edition),nontt,non
1901073712,Land of the Lords (2nd Run),nontt,non
1176218756,Corporate America Gilded Edition,nontt,non
740678842,Estate: Raise the Realm,nontt,non
177661017,DOUBLEHEAD KIDS 3rd edition + new game DOPPELKOPF 2.0,nontt,non
538776634,INSTANT COLORS Paints for Gamers,nontt,acc
750611878,Social Cooking,nontt,non
728616432,Shooting Stars: A family friendly memory game,nontt,non
1031364322,"""ROYALS"" Trading Card Game",nontt,non
1756638135,Tiny Epic Dungeons Adventures,nontt,non
646754051,Itamae San: the Sushi Game,nontt,non
207825461,Out of Sorts - 2nd Edition,nontt,non
1304537009,Hero Wars,nontt,non
1006521343,Legacy: Trading Card Game,nontt,non
694655492,Lines of Fire: A fantasy battle board game. (Monthly Game Creation Pro,nontt,non
483580209,South Tigris Trilogy Expansions,nontt,non
615414348,Akkad,nontt,non
2122487471,Santa VS Elf,nontt,non
2068547499,End of the Trail - Find fortune in the California Gold Rush,nontt,non
1451368654,The Movie Set,nontt,non
1915695095,War Game Tools iPhone App,nontt,non
1432857619,The Quest Keeper's Deck of Character Development,nontt,non
1646206868,Love To Win: A Card Game for Couples Who Love To Play Dirty,nontt,non
2005570110,Beehive - A mathematics puzzle game,nontt,non
1194183904,Santa Vs The Space Invaders | Roswell 51 Expansion Pack,nontt,non
246151572,Sumo Gnomes : Pocket sized wrestling!,nontt,non
1741027360,Driving Me Crazy! returns: Route 66 Edition,nontt,non
2080728264,Tank Wars,nontt,non
1645410464,DIASPORA,nontt,non
1369790166,Gallipoli: Ordered to Die,nontt,non
